Room,Building,Capacity,AV Equipment,Location,URL
CLE A118 – Classroom,Home Rooms,24,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Clearihue Building,https://www.uvic.ca/search/rooms/pages/cle-a118-classroom.php
COR A128 – Classroom,Home Rooms,32,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Cornett Building,https://www.uvic.ca/search/rooms/pages/cor-a128-classroom.php
ECS 128 – Classroom,Home Rooms,18,"1 document camera; 2 digital video projectors; A built-in classroom computer with webcam; Lecture capture capability; Projectors point to different walls; Room speakers; Touch panel controls for AV system; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Engineering and Computer Science Building,https://www.uvic.ca/search/rooms/pages/ecs-128-classroom.php
CLE B315 – Classroom,Home Rooms,20,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Clearihue Building,https://www.uvic.ca/search/rooms/pages/cle-b315-classroom.php
COR B111 – Classroom,Home Rooms,50,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Cornett Building,https://www.uvic.ca/search/rooms/pages/cor-b111-classroom.php
DSB C114 – Classroom,Home Rooms,20,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Projectors present against wall; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the David Strong Building,https://www.uvic.ca/search/rooms/pages/dsb-c114-classroom.php
COR B145 – Classroom,Home Rooms,36,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Cornett Building,https://www.uvic.ca/search/rooms/pages/cor-b145-classroom.php
CLE A207 – Classroom,Home Rooms,59,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Clearihue building,https://www.uvic.ca/search/rooms/pages/cle-a207-classroom.php
HSD A240 – Lecture theatre,Home Rooms,154,"2 document cameras; 3 digital video projectors; A built-in classroom computer with webcam; Lecture capture capability; Podium; Projectors present against wall; Room speakers; Touch panel controls for AV system; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Human and Social Development building,https://www.uvic.ca/search/rooms/pages/hsd-a240-lecture-theatre.php
MAC D109 – Classroom,Home Rooms,20,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the MacLaurin Building,https://www.uvic.ca/search/rooms/pages/mac-d109-classroom.php
CLE A127 – Multi-access classroom,Home Rooms,105,2 document cameras; 4 TV displays; A built-in classroom computer with webcam; Podium; Room speakers; Touch panel controls for AV system; Video and audio laptop connectors (HDMI and USB); Video conferencing and lecture capture capabilities,of the Clearihue Building,https://www.uvic.ca/search/rooms/pages/cle-a127-multi-access-classroom.php
CLE C112 – Classroom,Home Rooms,69,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Clearihue Building,https://www.uvic.ca/search/rooms/pages/cle-c112-classroom.php
COR A132 – Classroom,Home Rooms,14,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Cornett Building,https://www.uvic.ca/search/rooms/pages/cor-a132-classroom.php
MAC D110 – Classroom,Home Rooms,47,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the MacLaurin Building,https://www.uvic.ca/search/rooms/pages/mac-d110-classroom.php
RSN 131 – Lecture theatre,Home Rooms,234,"2 document cameras; 3 digital video projectors; A built-in classroom computer with webcam; Enhanced lecture capture capability, which includes blackboard recording; Podium; Projectors present against wall; Room speakers; TV displays for people sitting in the front row; Touch panel controls for AV system; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the S,https://www.uvic.ca/search/rooms/pages/rsn-131-lecture-theatre.php
CLE A326 – Classroom,Home Rooms,23,1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Touch panel controls for AV system; Video and audio laptop connectors (HDMI and USB); Wireless mic,of the Clearihue Building,https://www.uvic.ca/search/rooms/pages/cle-a326-classroom.php
CLE D126 – Classroom,Home Rooms,16,this website stores cookies on your computer,of the Clearihue Building,https://www.uvic.ca/search/rooms/pages/cle-d126-classroom.php
ECS 123 – Lecture theatre,Home Rooms,299,"2 document cameras; 3 digital video projectors; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Touch panel controls for AV system; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Engineering and Computer Science Building,https://www.uvic.ca/search/rooms/pages/ecs-123-lecture-theatre.php
CLE D130 – Classroom,Home Rooms,21,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Clearihue Building,https://www.uvic.ca/search/rooms/pages/cle-d130-classroom.php
ECS 125 – Classroom,Home Rooms,151,"1 document camera; 2 digital video projectors; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Touch panel controls for AV system; Video and audio laptop connectors (HDMI x 2, VGA, 3.5mm audio); Wireless mic",of the Engineering and Computer Science Building,https://www.uvic.ca/search/rooms/pages/ecs-125-classroom.php
CLE C108 – Classroom,Home Rooms,32,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Clearihue Building,https://www.uvic.ca/search/rooms/pages/cle-c108-classroom.php
HHB 110 – Multi-access classroom,Home Rooms,46,2 document cameras; 4 TV displays; A built-in classroom computer with webcam; Podium; Room speakers; Touch panel controls for AV system; Video and audio laptop connectors (HDMI and USB); Video conferencing and lecture capture capabilities,of the Hickman building,https://www.uvic.ca/search/rooms/pages/hhb-110-multi-access-classroom.php
COR B107 – Classroom,Home Rooms,60,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Cornett Building,https://www.uvic.ca/search/rooms/pages/cor-b107-classroom.php
CLE C109 – Classroom,Home Rooms,35,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Clearihue Building,https://www.uvic.ca/search/rooms/pages/cle-c109-classroom.php
HSD A264 – Classroom,Home Rooms,30,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Human and Social Development building,https://www.uvic.ca/search/rooms/pages/hsd-a264-classroom.php
COR A225 – Classroom,Home Rooms,64,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Cornett Building,https://www.uvic.ca/search/rooms/pages/cor-a225-classroom.php
COR A229 – Classroom,Home Rooms,62,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Cornett Building,https://www.uvic.ca/search/rooms/pages/cor-a229-classroom.php
ECS 108 – Classroom,Home Rooms,60,"1 document camera; 2 digital video projector; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Touch panel controls for AV system; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Engineering and Computer Science Building,https://www.uvic.ca/search/rooms/pages/ecs-108-classroom.php
CLE C113 – Classroom,Home Rooms,28,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Clearihue Building,https://www.uvic.ca/search/rooms/pages/cle-c113-classroom.php
ECS 116 – Classroom,Home Rooms,117,"1 document camera; 2 digital video projectors; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Touch panel controls for AV system; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Engineering and Computer Science Building,https://www.uvic.ca/search/rooms/pages/ecs-116-classroom.php
MAC D101 – Classroom,Home Rooms,36,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the MacLaurin Building,https://www.uvic.ca/search/rooms/pages/mac-d101-classroom.php
FPH 162 – Classroom,Home Rooms,12,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Projector presents against wall; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the First Peoples House,https://www.uvic.ca/search/rooms/pages/fph-162-classroom.php
